time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,institution_type,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,SCITT,Degree Class,Other,2,2
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,HEI,Degree Class,Total Known,186,100
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,HEI,Degree Class,First,37,20
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,HEI,Degree Class,Upper Second,125,67
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,HEI,Degree Class,Lower Second,19,10
201920,Academic year,National,E92000001,England,Drama,PG fee-funded,HEI,Degree Class,Other,5,3
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,HEI,Degree Class,Total Known,4,100
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,HEI,Degree Class,First,1,25
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,HEI,Degree Class,Upper Second,3,75
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,HEI,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,SCITT,Degree Class,Total Known,4,100
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,SCITT,Degree Class,First,1,25
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,SCITT,Degree Class,Upper Second,3,75
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,SCITT,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,SCITT,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried PGTA,HEI,Degree Class,Total Known,1,100
201920,Academic year,National,E92000001,England,Drama,PG Salaried PGTA,HEI,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried PGTA,HEI,Degree Class,Upper Second,1,100
201920,Academic year,National,E92000001,England,Drama,PG Salaried PGTA,HEI,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried PGTA,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Drama,Postgraduate Total,Total,Degree Class,Total Known,276,100
201920,Academic year,National,E92000001,England,Drama,Postgraduate Total,Total,Degree Class,First,50,18
201920,Academic year,National,E92000001,England,Drama,Postgraduate Total,Total,Degree Class,Upper Second,185,67
201920,Academic year,National,E92000001,England,Drama,Postgraduate Total,Total,Degree Class,Lower Second,34,12
