time_period,time_identifier,geographic_level,country_code,country_name,itt_level,breakdown_topic,breakdown,trainee_number,trainee_percentage
201718,Academic year,National,E92000001,England,Undergraduate,Disability,No Disability Declared,4165,88
201718,Academic year,National,E92000001,England,Undergraduate,Disability,Total Known Disability,4756,100
201718,Academic year,National,E92000001,England,Undergraduate,Nationality,UK,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Nationality,EEA,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Nationality,Other Nationality,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Nationality,Total Known Nationality,0,0
201718,Academic year,National,E92000001,England,Undergraduate,Degree Class,First,z,z
201718,Academic year,National,E92000001,England,Undergraduate,Degree Class,Upper Second,z,z
201718,Academic year,National,E92000001,England,Undergraduate,Degree Class,Upper Second Class Degree or Better,z,z
201718,Academic year,National,E92000001,England,Undergraduate,Degree Class,Lower Second,z,z
201718,Academic year,National,E92000001,England,Undergraduate,Degree Class,Other Degree Class,z,z
201718,Academic year,National,E92000001,England,Undergraduate,Degree Class,Total Known Degree Class,z,z
201819,Academic year,National,E92000001,England,Postgraduate,Total,Primary,12885,100
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Male,2415,19
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Female,10470,81
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Other Sex,0,0
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Known Sex,12885,100
201819,Academic year,National,E92000001,England,Postgraduate,Total,Secondary,16315,56
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Male,6285,39
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Female,10030,61
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Other Sex,0,0
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Known Sex,16315,100
201819,Academic year,National,E92000001,England,Postgraduate,Sex,Total Known Sex,29200,100
201819,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Asian / Asian British,0,0
201819,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Black / African / Caribbean / Black British,0,0
201819,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201819,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Other ethnic group,0,0
201819,Academic year,National,E92000001,England,Postgraduate,Ethnicity,White,0,0
201819,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Total Known Ethnicity,0,0
201819,Academic year,National,E92000001,England,Postgraduate,Age,Under 25,14740,50
201819,Academic year,National,E92000001,England,Postgraduate,Age,25 to 29,7143,24
201819,Academic year,National,E92000001,England,Postgraduate,Age,30 to 34,2625,9
201819,Academic year,National,E92000001,England,Postgraduate,Age,35 to 39,1700,6
201819,Academic year,National,E92000001,England,Postgraduate,Age,40 to 44,1284,4
201819,Academic year,National,E92000001,England,Postgraduate,Age,45 to 49,980,3
201819,Academic year,National,E92000001,England,Postgraduate,Age,50 to 54,541,2
201819,Academic year,National,E92000001,England,Postgraduate,Age,55 and over,202,1
201819,Academic year,National,E92000001,England,Postgraduate,Disability,Declared,3322,11
201819,Academic year,National,E92000001,England,Postgraduate,Disability,No Disability Declared,25663,89
201819,Academic year,National,E92000001,England,Postgraduate,Disability,Total Known Disability,28985,99
201819,Academic year,National,E92000001,England,Postgraduate,Nationality,UK,26550,93
201819,Academic year,National,E92000001,England,Postgraduate,Nationality,EEA,1422,5
201819,Academic year,National,E92000001,England,Postgraduate,Nationality,Other Nationality,634,2
201819,Academic year,National,E92000001,England,Postgraduate,Nationality,Total Known Nationality,28606,98
201819,Academic year,National,E92000001,England,Postgraduate,Degree Class,First,5468,19
201819,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second,15365,54
201819,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second Class Degree or Better,20833,73
201819,Academic year,National,E92000001,England,Postgraduate,Degree Class,Lower Second,6604,23
201819,Academic year,National,E92000001,England,Postgraduate,Degree Class,Other Degree Class,1262,4
201819,Academic year,National,E92000001,England,Postgraduate,Degree Class,Total Known Degree Class,28699,98
