time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
202223,Academic year,National,E92000001,England,Physical Education,Total,Postgraduates in scope of target,1393,z
202223,Academic year,National,E92000001,England,Physical Education,Target,Postgraduate ITT Target,980,142
202223,Academic year,National,E92000001,England,Physical Education,Total,Total Postgraduates,1499,100
202223,Academic year,National,E92000001,England,Physics,Total,Postgraduates in scope of target,427,z
202223,Academic year,National,E92000001,England,Physics,Target,Postgraduate ITT Target,2610,16
202223,Academic year,National,E92000001,England,Physics,Total,Total Postgraduates,457,100
202223,Academic year,National,E92000001,England,Religious Education,Total,Postgraduates in scope of target,336,z
202223,Academic year,National,E92000001,England,Religious Education,Target,Postgraduate ITT Target,450,75
202223,Academic year,National,E92000001,England,Religious Education,Total,Total Postgraduates,353,100
202223,Academic year,National,E92000001,England,Primary,Total,Postgraduates in scope of target,10638,z
202223,Academic year,National,E92000001,England,Primary,Target,Postgraduate ITT Target,11655,91
202223,Academic year,National,E92000001,England,Primary,Total,Total Postgraduates,11010,100
202223,Academic year,National,E92000001,England,Secondary,Total,Postgraduates in scope of target,12023,z
202223,Academic year,National,E92000001,England,Secondary,Target,Postgraduate ITT Target,20945,57
202223,Academic year,National,E92000001,England,Secondary,Total,Total Postgraduates,12596,100
202223,Academic year,National,E92000001,England,STEM Subjects,Total,Postgraduates in scope of target,3935,z
202223,Academic year,National,E92000001,England,STEM Subjects,Target,Postgraduate ITT Target,7460,53
202223,Academic year,National,E92000001,England,STEM Subjects,Total,Total Postgraduates,4108,100
202223,Academic year,National,E92000001,England,Total,Total,Postgraduates in scope of target,22661,z
202223,Academic year,National,E92000001,England,Total,Target,Postgraduate ITT Target,32600,70
202223,Academic year,National,E92000001,England,Total,Total,Total Postgraduates,23606,100
202324,Academic year,National,E92000001,England,Art & Design,Total,Postgraduates in scope of target,369,z
202324,Academic year,National,E92000001,England,Art & Design,Target,Postgraduate ITT Target,825,45
202324,Academic year,National,E92000001,England,Art & Design,Total,Total Postgraduates,401,100
202324,Academic year,National,E92000001,England,Biology,Total,Postgraduates in scope of target,922,z
