time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,itt_program_type,num_candidates,num_accepted,perc_accepted_candidates_on_route,in_cycle_accepted_candidates,in_cycle_acceptance_rate
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG fee-funded,HEI,1161,486,69,596,51
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG fee-funded,SCITT,567,192,27,228,40
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG fee-funded,Total,1352,678,96,824,61
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried PGTA,HEI,21,0,0,x,x
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried PGTA,SCITT,53,5,1,5,9
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried PGTA,Total,68,5,1,5,7
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried School Direct,HEI,56,5,1,7,12
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried School Direct,SCITT,113,15,2,15,13
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Salaried School Direct,Total,145,20,3,22,15
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Total,HEI,1192,491,70,603,51
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Total,SCITT,655,212,30,248,38
202223,Academic year,National,E92000001,England,Modern Foreign Languages,PG Total,Total,1418,703,100,851,60
202223,Academic year,National,E92000001,England,Modern Foreign Languages,Total,HEI,1192,491,70,603,51
202223,Academic year,National,E92000001,England,Modern Foreign Languages,Total,SCITT,655,212,30,248,38
202223,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Total,1418,703,100,851,60
202223,Academic year,National,E92000001,England,Music,PG fee-funded,HEI,374,180,67,215,57
202223,Academic year,National,E92000001,England,Music,PG fee-funded,SCITT,189,71,27,84,44
202223,Academic year,National,E92000001,England,Music,PG fee-funded,Total,452,251,94,299,66
202223,Academic year,National,E92000001,England,Music,PG Salaried PGTA,HEI,4,1,0,x,x
202223,Academic year,National,E92000001,England,Music,PG Salaried PGTA,SCITT,52,10,4,10,19
202223,Academic year,National,E92000001,England,Music,PG Salaried PGTA,Total,53,11,4,11,21
202223,Academic year,National,E92000001,England,Music,PG Salaried School Direct,HEI,4,0,0,x,x
202223,Academic year,National,E92000001,England,Music,PG Salaried School Direct,SCITT,47,5,2,6,13
202223,Academic year,National,E92000001,England,Music,PG Salaried School Direct,Total,49,5,2,6,12
202223,Academic year,National,E92000001,England,Music,PG Total,HEI,380,181,68,216,57
202223,Academic year,National,E92000001,England,Music,PG Total,SCITT,241,86,32,100,41
202223,Academic year,National,E92000001,England,Music,PG Total,Total,492,267,100,316,64
202223,Academic year,National,E92000001,England,Music,Total,HEI,380,181,68,216,57
202223,Academic year,National,E92000001,England,Music,Total,SCITT,241,86,32,100,41
202223,Academic year,National,E92000001,England,Music,Total,Total,492,267,100,316,64
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG fee-funded,HEI,11758,5126,66,6205,53
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG fee-funded,SCITT,6100,2226,29,2652,43
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG fee-funded,Total,13846,7352,95,8857,64
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Salaried PGTA,HEI,197,21,0,24,12
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Salaried PGTA,SCITT,789,163,2,170,22
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Salaried PGTA,Total,935,184,2,194,21
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Salaried School Direct,HEI,437,56,1,59,14
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Salaried School Direct,SCITT,900,166,2,175,19
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Salaried School Direct,Total,1178,222,3,234,20
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Total,HEI,12081,5203,67,6288,52
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Total,SCITT,7031,2555,33,2997,43
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,PG Total,Total,14568,7758,100,9285,64
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,Total,HEI,12081,5203,67,6288,52
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,Total,SCITT,7031,2555,33,2997,43
202223,Academic year,National,E92000001,England,Non-STEM Secondary Subjects,Total,Total,14568,7758,100,9285,64
202223,Academic year,National,E92000001,England,Others,PG fee-funded,HEI,826,250,65,321,39
202223,Academic year,National,E92000001,England,Others,PG fee-funded,SCITT,476,120,31,159,33
202223,Academic year,National,E92000001,England,Others,PG fee-funded,Total,1051,370,96,480,46
202223,Academic year,National,E92000001,England,Others,PG Salaried PGTA,HEI,8,0,0,x,x
202223,Academic year,National,E92000001,England,Others,PG Salaried PGTA,SCITT,27,7,2,x,x
202223,Academic year,National,E92000001,England,Others,PG Salaried PGTA,Total,34,7,2,7,21
202223,Academic year,National,E92000001,England,Others,PG Salaried School Direct,HEI,12,2,1,x,x
202223,Academic year,National,E92000001,England,Others,PG Salaried School Direct,SCITT,27,8,2,x,x
202223,Academic year,National,E92000001,England,Others,PG Salaried School Direct,Total,39,10,3,11,28
202223,Academic year,National,E92000001,England,Others,PG Total,HEI,837,252,65,323,39
202223,Academic year,National,E92000001,England,Others,PG Total,SCITT,517,135,35,175,34
202223,Academic year,National,E92000001,England,Others,PG Total,Total,1093,387,100,498,46
202223,Academic year,National,E92000001,England,Others,Total,HEI,837,252,65,323,39
202223,Academic year,National,E92000001,England,Others,Total,SCITT,517,135,35,175,34
202223,Academic year,National,E92000001,England,Others,Total,Total,1093,387,100,498,46
202223,Academic year,National,E92000001,England,Physical Education,PG fee-funded,HEI,2239,975,66,1121,50
202223,Academic year,National,E92000001,England,Physical Education,PG fee-funded,SCITT,1264,460,31,517,41
202223,Academic year,National,E92000001,England,Physical Education,PG fee-funded,Total,2639,1435,97,1638,62
202223,Academic year,National,E92000001,England,Physical Education,PG Salaried PGTA,HEI,57,7,0,9,16
202223,Academic year,National,E92000001,England,Physical Education,PG Salaried PGTA,SCITT,44,7,0,8,18
202223,Academic year,National,E92000001,England,Physical Education,PG Salaried PGTA,Total,96,14,1,17,18
202223,Academic year,National,E92000001,England,Physical Education,PG Salaried School Direct,HEI,35,6,0,6,17
202223,Academic year,National,E92000001,England,Physical Education,PG Salaried School Direct,SCITT,52,17,1,17,33
202223,Academic year,National,E92000001,England,Physical Education,PG Salaried School Direct,Total,81,23,2,23,28
202223,Academic year,National,E92000001,England,Physical Education,PG Total,HEI,2277,988,67,1136,50
202223,Academic year,National,E92000001,England,Physical Education,PG Total,SCITT,1321,484,33,542,41
202223,Academic year,National,E92000001,England,Physical Education,PG Total,Total,2699,1472,100,1678,62
202223,Academic year,National,E92000001,England,Physical Education,Total,HEI,2277,988,67,1136,50
202223,Academic year,National,E92000001,England,Physical Education,Total,SCITT,1321,484,33,542,41
202223,Academic year,National,E92000001,England,Physical Education,Total,Total,2699,1472,100,1678,62
202223,Academic year,National,E92000001,England,Physics,PG fee-funded,HEI,880,288,66,353,40
202223,Academic year,National,E92000001,England,Physics,PG fee-funded,SCITT,373,128,29,147,39
202223,Academic year,National,E92000001,England,Physics,PG fee-funded,Total,1040,416,95,500,48
202223,Academic year,National,E92000001,England,Physics,PG Salaried PGTA,HEI,6,1,0,x,x
202223,Academic year,National,E92000001,England,Physics,PG Salaried PGTA,SCITT,24,3,1,x,x
202223,Academic year,National,E92000001,England,Physics,PG Salaried PGTA,Total,28,4,1,x,x
202223,Academic year,National,E92000001,England,Physics,PG Salaried School Direct,HEI,37,4,1,5,14
202223,Academic year,National,E92000001,England,Physics,PG Salaried School Direct,SCITT,111,13,3,16,14
202223,Academic year,National,E92000001,England,Physics,PG Salaried School Direct,Total,131,17,4,21,16
202223,Academic year,National,E92000001,England,Physics,PG Total,HEI,907,293,67,359,40
202223,Academic year,National,E92000001,England,Physics,PG Total,SCITT,465,144,33,166,36
202223,Academic year,National,E92000001,England,Physics,PG Total,Total,1119,437,100,525,47
202223,Academic year,National,E92000001,England,Physics,Total,HEI,907,293,67,359,40
202223,Academic year,National,E92000001,England,Physics,Total,SCITT,465,144,33,166,36
202223,Academic year,National,E92000001,England,Physics,Total,Total,1119,437,100,525,47
202223,Academic year,National,E92000001,England,Primary,PG fee-funded,HEI,14411,7286,65,8694,60
202223,Academic year,National,E92000001,England,Primary,PG fee-funded,SCITT,7318,3054,27,3628,50
202223,Academic year,National,E92000001,England,Primary,PG fee-funded,Total,17126,10340,92,12322,72
202223,Academic year,National,E92000001,England,Primary,PG Salaried PGTA,HEI,777,120,1,128,16
202223,Academic year,National,E92000001,England,Primary,PG Salaried PGTA,SCITT,1645,368,3,394,24
202223,Academic year,National,E92000001,England,Primary,PG Salaried PGTA,Total,2167,488,4,522,24
202223,Academic year,National,E92000001,England,Primary,PG Salaried School Direct,HEI,879,132,1,136,15
202223,Academic year,National,E92000001,England,Primary,PG Salaried School Direct,SCITT,1462,229,2,245,17
202223,Academic year,National,E92000001,England,Primary,PG Salaried School Direct,Total,2025,361,3,381,19
202223,Academic year,National,E92000001,England,Primary,PG Total,HEI,15260,7538,67,8958,59
202223,Academic year,National,E92000001,England,Primary,PG Total,SCITT,8962,3651,33,4267,48
202223,Academic year,National,E92000001,England,Primary,PG Total,Total,18561,11189,100,13225,71
202223,Academic year,National,E92000001,England,Primary,Total,HEI,15260,7538,67,8958,59
202223,Academic year,National,E92000001,England,Primary,Total,SCITT,8962,3651,33,4267,48
202223,Academic year,National,E92000001,England,Primary,Total,Total,18561,11189,100,13225,71
202223,Academic year,National,E92000001,England,Religious Education,PG fee-funded,HEI,565,204,66,253,45
202223,Academic year,National,E92000001,England,Religious Education,PG fee-funded,SCITT,252,73,24,83,33
202223,Academic year,National,E92000001,England,Religious Education,PG fee-funded,Total,705,277,89,336,48
202223,Academic year,National,E92000001,England,Religious Education,PG Salaried PGTA,HEI,2,0,0,x,x
202223,Academic year,National,E92000001,England,Religious Education,PG Salaried PGTA,SCITT,65,16,5,16,25
202223,Academic year,National,E92000001,England,Religious Education,PG Salaried PGTA,Total,66,16,5,16,24
202223,Academic year,National,E92000001,England,Religious Education,PG Salaried School Direct,HEI,58,6,2,7,12
202223,Academic year,National,E92000001,England,Religious Education,PG Salaried School Direct,SCITT,45,11,4,12,27
202223,Academic year,National,E92000001,England,Religious Education,PG Salaried School Direct,Total,89,17,5,19,21
202223,Academic year,National,E92000001,England,Religious Education,PG Total,HEI,604,210,68,260,43
202223,Academic year,National,E92000001,England,Religious Education,PG Total,SCITT,332,100,32,111,33
202223,Academic year,National,E92000001,England,Religious Education,PG Total,Total,777,310,100,371,48
202223,Academic year,National,E92000001,England,Religious Education,Total,HEI,604,210,68,260,43
202223,Academic year,National,E92000001,England,Religious Education,Total,SCITT,332,100,32,111,33
202223,Academic year,National,E92000001,England,Religious Education,Total,Total,777,310,100,371,48
202223,Academic year,National,E92000001,England,Secondary,PG fee-funded,HEI,18048,7586,65,9215,51
202223,Academic year,National,E92000001,England,Secondary,PG fee-funded,SCITT,9384,3373,29,3989,43
202223,Academic year,National,E92000001,England,Secondary,PG fee-funded,Total,21095,10959,95,13204,63
